"Campaign","Keyword","Criterion Type","Status"
"退職リリーフ｜初期検証","退職代行","Campaign Negative Phrase","Enabled"
"退職リリーフ｜初期検証","即日退職","Campaign Negative Phrase","Enabled"
"退職リリーフ｜初期検証","退職願","Campaign Negative Phrase","Enabled"
"退職リリーフ｜初期検証","退職届","Campaign Negative Phrase","Enabled"
"退職リリーフ｜初期検証","診断","Campaign Negative Phrase","Enabled"
"退職リリーフ｜初期検証","診断書","Campaign Negative Phrase","Enabled"
"退職リリーフ｜初期検証","オンライン診療","Campaign Negative Phrase","Enabled"
"退職リリーフ｜初期検証","クリニック","Campaign Negative Phrase","Enabled"
"退職リリーフ｜初期検証","精神科","Campaign Negative Phrase","Enabled"
"退職リリーフ｜初期検証","うつ","Campaign Negative Phrase","Enabled"
"退職リリーフ｜初期検証","適応障害","Campaign Negative Phrase","Enabled"
"退職リリーフ｜初期検証","増額","Campaign Negative Phrase","Enabled"
"退職リリーフ｜初期検証","延長","Campaign Negative Phrase","Enabled"
"退職リリーフ｜初期検証","早くもらう","Campaign Negative Phrase","Enabled"
"退職リリーフ｜初期検証","不正受給","Campaign Negative Phrase","Enabled"
"退職リリーフ｜初期検証","不当解雇","Campaign Negative Phrase","Enabled"
"退職リリーフ｜初期検証","解雇無効","Campaign Negative Phrase","Enabled"
"退職リリーフ｜初期検証","解雇裁判","Campaign Negative Phrase","Enabled"
"退職リリーフ｜初期検証","弁護士","Campaign Negative Phrase","Enabled"
"退職リリーフ｜初期検証","労基署","Campaign Negative Phrase","Enabled"
"退職リリーフ｜初期検証","残業代","Campaign Negative Phrase","Enabled"
"退職リリーフ｜初期検証","未払い賃金","Campaign Negative Phrase","Enabled"
"退職リリーフ｜初期検証","未来退職","Campaign Negative Phrase","Enabled"
"退職リリーフ｜初期検証","退職コンシェルジュ","Campaign Negative Phrase","Enabled"
"退職リリーフ｜初期検証","よりみち給付金サポート","Campaign Negative Phrase","Enabled"
"退職リリーフ｜初期検証","社会保険給付金アシスト","Campaign Negative Phrase","Enabled"
"退職リリーフ｜初期検証","退職サポーターズ","Campaign Negative Phrase","Enabled"
"退職リリーフ｜初期検証","退職前アドバイザー","Campaign Negative Phrase","Enabled"
"退職リリーフ｜初期検証","ハローワーク 電話","Campaign Negative Exact","Enabled"
"退職リリーフ｜初期検証","ハローワーク 営業時間","Campaign Negative Exact","Enabled"
"退職リリーフ｜初期検証","ハローワーク 管轄","Campaign Negative Exact","Enabled"
"退職リリーフ｜初期検証","ハローワーク 求人","Campaign Negative Exact","Enabled"
"退職リリーフ｜初期検証","職業訓練","Campaign Negative Exact","Enabled"
"退職リリーフ｜初期検証","年金","Campaign Negative Exact","Enabled"
"退職リリーフ｜初期検証","65歳","Campaign Negative Exact","Enabled"
"退職リリーフ｜初期検証","高年齢","Campaign Negative Exact","Enabled"
"退職リリーフ｜初期検証","公務員","Campaign Negative Exact","Enabled"
"退職リリーフ｜初期検証","特例一時金","Campaign Negative Exact","Enabled"
"退職リリーフ｜初期検証","退職金 計算","Campaign Negative Exact","Enabled"
"退職リリーフ｜初期検証","退職 給付金 詐欺","Campaign Negative Exact","Enabled"
"退職リリーフ｜初期検証","退職給付金 詐欺","Campaign Negative Exact","Enabled"
"退職リリーフ｜初期検証","退職給付金 怪しい","Campaign Negative Exact","Enabled"
"退職リリーフ｜初期検証","退職給付金 返金","Campaign Negative Exact","Enabled"
"退職リリーフ｜初期検証","退職給付金 解約","Campaign Negative Exact","Enabled"
