"Campaign","Ad group","Keyword","Criterion Type","Status"
"退職リリーフ｜初期検証","AG01_サポート比較","200万","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG01_サポート比較","300万","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG01_サポート比較","最大","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG01_サポート比較","いくら","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG01_サポート比較","自己都合","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG01_サポート比較","解雇","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG01_サポート比較","会社都合","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG01_サポート比較","雇止め","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG01_サポート比較","契約満了","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG01_サポート比較","退職勧奨","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG01_サポート比較","倒産","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG01_サポート比較","事業所閉鎖","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG01_サポート比較","離職票","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG01_サポート比較","休職満了","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG01_サポート比較","体調不良","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG01_サポート比較","介護","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG01_サポート比較","育児","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG01_サポート比較","配偶者転勤","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG01_サポート比較","通勤困難","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG01_サポート比較","会社移転","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG02_退職給付金_金額","サポート","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG02_退職給付金_金額","料金","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG02_退職給付金_金額","比較","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG02_退職給付金_金額","自己都合","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG02_退職給付金_金額","解雇","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG02_退職給付金_金額","会社都合","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG02_退職給付金_金額","雇止め","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG02_退職給付金_金額","契約満了","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG02_退職給付金_金額","退職勧奨","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG02_退職給付金_金額","倒産","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG02_退職給付金_金額","離職票","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG02_退職給付金_金額","休職満了","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG02_退職給付金_金額","介護","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG02_退職給付金_金額","育児","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG02_退職給付金_金額","配偶者転勤","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG03_自己都合_開始時期","サポート","Negative Phrase","Enabled"
