query_group,query,visible_relevant_sponsored_ad,affiliate_or_referral_style_results_visible,advertiser_owned_or_official_results_seen,checked_on
general,失業保険 サポート,none,"shitsugyouhoken-ranking.jp;steady-sr.com","shitsugyouhoken-support.com;mirai-taishoku.com;taishoku-concierge.jp;yorimichi-ks.com",2026-07-31
general,退職給付金 サポート,none,"steady-sr.com;Yokohama Info","r-support.work;InVitro自社記事",2026-07-31
general,失業保険 申請サポート,none,"shitsugyouhoken-ranking.jp","InVitro自社記事;未来退職",2026-07-31
general,退職給付金 申請サポート,none,"Yokohama Info;steady-sr.com","InVitro自社記事",2026-07-31
general,社会保険給付金 サポート,none,Yokohama Info,社会保険給付金アシスト,2026-07-31
general,失業保険 申請 代行,none,shitsugyouhoken-ranking.jp,,2026-07-31
general,退職 給付金 相談,none,steady-sr.com,,2026-07-31
general,退職給付金 相談,none,steady-sr.com,,2026-07-31
general,退職後 お金 相談,none,,InVitro自社サービス,2026-07-31
general,失業保険 相談 無料,"1件あり・保険相談で本件とは別",book-taishoku.com,InVitro自社記事,2026-07-31
general,雇用保険 相談 民間,none,,InVitro自社記事,2026-07-31
general,退職 サポート 給付金,none,"sophiacommunications.net;steady-sr.com",,2026-07-31
commercial,失業保険 サポート 料金,none,Yokohama Info,InVitro自社記事,2026-07-31
commercial,失業保険 サポート おすすめ,none,"steady-sr.com;Yokohama Info;taishoku-rank.com;apiro-tax.com;shitsugyouhoken-ranking.jp;book-taishoku.com",InVitro自社記事,2026-07-31
commercial,失業保険 サポート 比較,none,"steady-sr.com;Yokohama Info;taishoku-rank.com;apiro-tax.com;shitsugyo-hikaku.com;shitsugyouhoken-ranking.jp;book-taishoku.com",InVitro自社記事;社会保険給付金アシスト,2026-07-31
commercial,失業保険 サポート 口コミ,none,"sophiacommunications.net;Yokohama Info;apiro-tax.com;shitsugyouhoken-ranking.jp",InVitro自社記事,2026-07-31
commercial,失業保険 サポート 怪しい,none,"sophiacommunications.net;Yokohama Info",InVitro自社記事,2026-07-31
commercial,失業保険 申請サポート 料金,none,"steady-sr.com;Yokohama Info",InVitro自社記事,2026-07-31
commercial,失業保険 申請サポート おすすめ,none,"steady-sr.com;Yokohama Info;taishoku-rank.com;shitsugyouhoken-ranking.jp;apiro-tax.com;book-taishoku.com",InVitro自社記事,2026-07-31
commercial,失業保険 申請サポート 比較,none,"steady-sr.com;shitsugyo-hikaku.com;Yokohama Info;book-taishoku.com;apiro-tax.com;shitsugyouhoken-ranking.jp;taishoku-rank.com",InVitro自社記事,2026-07-31
commercial,退職給付金 サポート 料金,none,"steady-sr.com;Yokohama Info",InVitro自社記事,2026-07-31
commercial,退職給付金 サポート おすすめ,none,"steady-sr.com;Yokohama Info;sophiacommunications.net;apiro-tax.com;taishoku-rank.com",InVitro自社記事;社会保険給付金アシスト,2026-07-31
commercial,退職給付金 サポート 口コミ,none,"Yokohama Info;sophiacommunications.net;steady-sr.com;apiro-tax.com",InVitro自社記事,2026-07-31
commercial,退職給付金 サポート 怪しい,none,"steady-sr.com;sophiacommunications.net;apiro-tax.com;Yokohama Info",InVitro自社記事,2026-07-31
amount,退職給付金 200万,none,"terracestaff.co.jp;sophiacommunications.net;apiro-tax.com",,2026-07-31
amount,退職給付金 300万,none,sophiacommunications.net,InVitro自社記事,2026-07-31
amount,退職給付金 最大,none,sophiacommunications.net,InVitro自社記事,2026-07-31
amount,退職給付金 受給額,none,,,2026-07-31
timing,退職給付金 失業保険 いつから,none,sophiacommunications.net,InVitro自社記事,2026-07-31
timing,退職 失業保険 いくら,none,,InVitro自社記事,2026-07-31
timing,退職 失業保険 期間,none,,,2026-07-31
timing,自己都合 退職 失業保険,none,,,2026-07-31
timing,自己都合 退職 失業保険 待機期間,none,,InVitro自社記事,2026-07-31
timing,退職前 失業保険,none,,,2026-07-31
situation,体調不良 退職 給付金,none,book-taishoku.com,,2026-07-31
situation,傷病手当 退職 給付金,none,,,2026-07-31
brand,退職リリーフ 口コミ,none,"steady-sr.com;apiro-tax.com;taisyokunokyoukasyo.com",社会保険給付金アシスト,2026-07-31
brand,退職リリーフ 怪しい,none,"steady-sr.com;apiro-tax.com;Yokohama Info;sophiacommunications.net",社会保険給付金アシスト;退職リリーフ公式,2026-07-31
brand,退職リリーフ 給付金,none,"steady-sr.com;apiro-tax.com;taisyokunokyoukasyo.com;sophiacommunications.net",社会保険給付金アシスト;退職リリーフ公式,2026-07-31
brand,退職サポーターズ 口コミ,none,"Yokohama Info;steady-sr.com;apiro-tax.com;sophiacommunications.net",InVitro自社記事;退職サポーターズ公式,2026-07-31
brand,退職コンシェルジュ 口コミ,none,"leadbrain.co.jp;Yokohama Info;steady-sr.com",退職コンシェルジュ公式,2026-07-31
brand,退職前アドバイザー 口コミ,none,"Yokohama Info;steady-sr.com;apiro-tax.com",InVitro自社記事;退職前アドバイザー公式,2026-07-31
brand,給付金サポートデスク 口コミ,none,"Yokohama Info;steady-sr.com",,2026-07-31
brand,よりみち給付金サポート 口コミ,none,"stella-sc.jp;wildcard.co.jp;steady-sr.com",InVitro自社記事;社会保険給付金アシスト;よりみち公式,2026-07-31
brand,社会保険給付金アシスト 口コミ,none,"Yokohama Info;steady-sr.com",InVitro自社記事;社会保険給付金アシスト公式,2026-07-31
brand,退職給付金 申請代行 口コミ,none,"leadbrain.co.jp;stella-sc.jp;Yokohama Info;apiro-tax.com",InVitro自社記事;社会保険給付金アシスト,2026-07-31
