keyword_group,keyword_or_seed,source_or_provenance,observed_on,serp_or_suggest_observation,historical_keyword_planner_snapshot,local_lp_words_already_present,evidence_boundary
commercial_support,失業保険 サポート,"Google SERP 46語実査;Googleサジェスト",2026-07-31,"関連スポンサーなし;送客・紹介記事と公式が表示;サジェストに会社/詐欺/料金/怪しい","2026-07-22:月間平均390;競合性中;上部入札¥212-601",短いLP:失業保険;記事型LP:失業手当,"広告出稿を勧める行ではない。SERPは一回の画面観測。"
commercial_support,失業保険 サポート会社,Googleサジェスト,2026-07-31,"サポート運営者を探す語として表示",,短いLP:なし;記事型LP:なし,"検索数・広告可否は未確認"
commercial_support,失業保険 サポート料金,"Googleサジェスト;SERP実査",2026-07-31,"料金系の送客記事が表示",,短いLP:料金は未記載;記事型LP:料金説明章あり,"送客記事の料金を広告主条件として転用しない"
commercial_support,失業保険 サポート 怪しい,"Googleサジェスト;SERP実査",2026-07-31,"紹介・比較記事が表示",,短いLP:なし;記事型LP:なし,"不信語の存在のみ"
commercial_support,失業保険 サポート 詐欺,Googleサジェスト,2026-07-31,"サジェストに表示",,短いLP:なし;記事型LP:なし,"不正・違法の断定語ではない"
commercial_support,失業保険 申請サポート,"Google SERP 46語実査",2026-07-31,"関連スポンサーなし;比較・紹介記事と公式が表示",,短いLP:申請なし;記事型LP:申請,"一回の画面観測"
commercial_support,失業保険 申請サポート 料金,Google SERP 46語実査,2026-07-31,"関連スポンサーなし;料金比較記事が表示",,短いLP:料金は未記載;記事型LP:料金説明章あり,"一回の画面観測"
commercial_support,失業保険 申請サポート おすすめ,Google SERP 46語実査,2026-07-31,"関連スポンサーなし;複数のランキング送客記事が表示",,短いLP:なし;記事型LP:なし,"一回の画面観測"
commercial_support,失業保険 申請サポート 比較,Google SERP 46語実査,2026-07-31,"関連スポンサーなし;ランキング送客記事が多い",,短いLP:なし;記事型LP:なし,"一回の画面観測"
commercial_support,失業保険 申請 代行,Google SERP 46語実査,2026-07-31,"関連スポンサーなし;比較サイトが表示",,短いLP:なし;記事型LP:本人が申請,"独占業務等の法的判断は未記載"
commercial_support,退職給付金 サポート,"Google SERP 46語実査",2026-07-31,"関連スポンサーなし;紹介記事と公式が表示",,短いLP:退職後のお金;記事型LP:退職前後,"語の定義は検索者と公的制度で一致しない場合がある"
commercial_support,退職給付金 サポート 料金,Google SERP 46語実査,2026-07-31,"関連スポンサーなし;料金比較記事が表示",,短いLP:料金は未記載;記事型LP:料金説明章あり,"一回の画面観測"
